seller-sku	asin1	price	quantity
LNV-81WR000DUS-20G-512G-W11H-V1	B09Y53R2NG	779	1
LNV-81WR000DUS-20G-512G-W11P-V1	B09Y53VYPW	829	10
LNV-81WR000FUS-MIX	B088T671HD	449	5
LNV-81X800EKUS-I3-12GB-256GB-W10P-USB	B09SZ2BTX6	559	15
LNV-81X800EKUS-I3-12GB-256GB-W11P-USB	B09SZ1YK8S	559	18
LNV-81X800EKUS-I3-12GB-512GB-W10P-USB	B09SZ3YBZC	609	18
LNV-81X800EKUS-I3-12GB-512GB-W11P-USB	B09SZ2B3XW	609	19
LNV-81X800EKUS-I3-20GB-512GB-W10P-USB	B09SZ2166M	679	10
LNV-81X800EKUS-I3-20GB-512GB-W11P-USB	B09SZ12QF3	679	20
LNV-81X800EKUS-I3-8GB-256GB-W10P-USB	B09SZ2LKJS	529	12
LNV-81X800EKUS-I3-8GB-256GB-W11P-USB	B09SZ23Z51	529	19
LNV-81X800ELUS-I3-12GB-256GB-W10P-USB	B09SZ1HKT5	559	11
LNV-81X800ELUS-I3-12GB-256GB-W11P-USB	B09SZ26WDS	559	20
LNV-81X800ELUS-I3-12GB-512GB-W10P-USB	B09SZ2NMZ3	609	18
LNV-81X800ELUS-I3-12GB-512GB-W11P-USB	B09SZ1HSMF	609	18
LNV-81X800ELUS-I3-20GB-512GB-W10P-USB	B09SZ325YL	679	19
LNV-81X800ELUS-I3-20GB-512GB-W11P-USB	B09SZ1DWHP	679	20
LNV-81X800ELUS-I3-8GB-256GB-W10P-USB	B09SZ2F3HD	529	19
LNV-81X800ELUS-I3-8GB-256GB-W11P-USB	B09SZ2DWRG	529	20
LNV-81X800EMUS-I3-12GB-256GB-W10P-USB	B09SZ2LJPP	559	20
LNV-81X800EMUS-I3-12GB-256GB-W11P-USB	B09SZ286B7	559	20
LNV-81X800EMUS-I3-12GB-512GB-W10P-USB	B09SZ1V2XJ	609	20
LNV-81X800EMUS-I3-12GB-512GB-W11P-USB	B09SZ2NGC2	609	19
LNV-81X800EMUS-I3-20GB-512GB-W10P-USB	B09SZ1L1T7	679	20
LNV-81X800EMUS-I3-20GB-512GB-W11P-USB	B09SZ1RNFZ	679	20
LNV-81X800EMUS-I3-8GB-256GB-W10P-USB	B09SZ1XDLH	529	20
LNV-81X800EMUS-I3-8GB-256GB-W11P-USB	B09SZ24FGL	529	20
LNV-82B80006UX-4GB-64GB-CHRM-V1	B0B72DF8LX	449	12
LNV-82FG000AUS-8GB-1TB-USB	B09SYV6PVS	1099	10
LNV-82FG000AUS-8GB-1TB-W10P-USB	B09SYVRGLG	1149	10
LNV-82FG000AUS-8GB-1TB-W11H-USB	B09SYVQTMW	1099	10
LNV-82FG000AUS-8GB-1TB-W11P-USB	B09SYVT8TP	1149	10
LNV-82FG000AUS-8GB-256GB-USB	B09SYVSWBK	969	10
LNV-82FG000AUS-8GB-256GB-W10P-USB	B09SYVF6FK	1019	10
LNV-82FG000AUS-8GB-256GB-W11H-USB	B09SYVYZFM	969	10
LNV-82FG000AUS-8GB-256GB-W11P-USB	B09SYW1GW5	1019	10
LNV-82FG000AUS-8GB-512GB-USB	B09SYT8M42	999	10
LNV-82FG000AUS-8GB-512GB-W10P-USB	B09SYV1Y6L	1049	10
LNV-82FG000AUS-8GB-512GB-W11H-USB	B09SYTLCRH	999	10
LNV-82FG000AUS-8GB-512GB-W11P-USB	B09SYTRD3L	1049	10
LNV-82FG015VUS-12-256-1TBHDD-W10H-V1	B09Y8SL12Z	1029	20
LNV-82FG015VUS-12-256-1TBHDD-W10P-V1	B09Y8SRQKG	1079	20
LNV-82FG015VUS-12-256-1TBHDD-W11H-V1	B09Y8T69KD	1029	20
LNV-82FG015VUS-12-256-1TBHDD-W11P-V1	B09Y8TBJS7	1079	20
LNV-82FG015VUS-12GB-1TB-W10H-K1	B0BDPGZBGG	1099	20
LNV-82FG015VUS-12GB-1TB-W10H-V1	B09Y8T1ZYP	1099	20
LNV-82FG015VUS-12GB-1TB-W10P-K1	B0BDP5R6GW	1149	20
LNV-82FG015VUS-12GB-1TB-W10P-V1	B09Y8VSX9T	1149	19
LNV-82FG015VUS-12GB-1TB-W11H-K1	B0BDQG1VTR	1099	20
LNV-82FG015VUS-12GB-1TB-W11H-V1	B09Y8SQGK2	1099	20
LNV-82FG015VUS-12GB-1TB-W11P-K1	B0BDP5L785	1149	20
LNV-82FG015VUS-12GB-1TB-W11P-V1	B09Y8TTRRZ	1149	20
LNV-82FG015VUS-12GB-256GB-W10H-V1	B09Y8SQGK3	999	20
LNV-82FG015VUS-12GB-256GB-W10P-V1	B09Y8R2LML	1049	20
LNV-82FG015VUS-12GB-256GB-W11H-V1	B09Y8T4Z79	999	20
LNV-82FG015VUS-12GB-256GB-W11P-V1	B09Y8SKH2T	1049	20
LNV-82FG015VUS-12GB-512GB-W10H-K1	B0BDQ4TRSJ	1029	20
LNV-82FG015VUS-12GB-512GB-W10H-V1	B09Y8RQMB5	1029	20
LNV-82FG015VUS-12GB-512GB-W10P-V1	B09Y8TGMWC	1079	20
LNV-82FG015VUS-12GB-512GB-W11H-K1	B0BDQJ2L9Q	1029	20
LNV-82FG015VUS-12GB-512GB-W11H-V1	B09Y8T1Y19	1029	19
LNV-82FG015VUS-12GB-512GB-W11P-K1	B0BDPGHJ4P	1079	20
LNV-82FG015VUS-12GB-512GB-W11P-V1	B09Y8SQQ1W	1079	20
LNV-82H701G0US-12G-512GB-W10H-K1	B0BGMQ1JLC	699	20
LNV-82H701G0US-12G-512GB-W10P-K1	B0BGMMCPZH	749	20
LNV-82H701G0US-12G-512GB-W11H-K1	B0BGNLR5FF	699	20
LNV-82H701G0US-12G-512GB-W11P-K1	B0BGN3TQV1	749	18
LNV-82H701G0US-20G-1TB-W10H-K1	B0BGML8WNY	849	20
LNV-82H701G0US-20G-1TB-W10P-K1	B0BGMNCT8F	899	20
LNV-82H701G0US-20G-1TB-W11H-K1	B0BGMLV3C5	849	20
LNV-82H701G0US-20G-1TB-W11P-K1	B0BGMPKXQB	899	20
LNV-82H701G0US-20G-512GB-W10H-K1	B0BGNBGRLF	749	20
LNV-82H701G0US-20G-512GB-W10P-K1	B0BGNT9KTW	799	20
LNV-82H701G0US-20G-512GB-W11H-K1	B0BGMMSLFG	749	20
LNV-82H701G0US-20G-512GB-W11P-K1	B0BGMR8QG5	799	20
LNV-82H701G0US-36G-1TB-W10H-K1	B0BGMNPBJC	949	19
LNV-82H701G0US-36G-1TB-W10P-K1	B0BGMPND5K	999	20
LNV-82H701G0US-36G-1TB-W11H-K1	B0BGMMXFD9	949	20
LNV-82H701G0US-36G-1TB-W11P-K1	B0BGMR3WV6	999	20
LNV-82H701G0US-36G-2TB-W10H-K1	B0BGMLXF1H	999	20
LNV-82H701G0US-36G-2TB-W10P-K1	B0BGMNHDQK	1149	20
LNV-82H701G0US-36G-2TB-W11H-K1	B0BGML1HGF	999	20
LNV-82H701G0US-36G-2TB-W11P-K1	B0BGMPHFFH	1149	20
LNV-82H8-I5-12GB-256GB-W10P-USB	B09M6HMFY9	799	20
LNV-82H8-I5-12GB-256GB-W11P-USB	B09M663YCS	799	11
LNV-82H8-I5-12GB-512GB-W10P-USB	B09M6HR35W	849	20
LNV-82H8-I5-20GB-1TB-W10H-USB	B09M6FS9BZ	949	20
LNV-82H8-I5-20GB-1TB-W10P-USB	B09M682KW1	999	19
LNV-82H8-I5-20GB-1TB-W11H-USB	B09M6KSBWZ	949	20
LNV-82H8-I5-20GB-1TB-W11P-USB	B09M6MZ5BS	999	17
LNV-82H8-I5-20GB-512GB-W10H-USB	B09M62976T	849	20
LNV-82H8-I5-20GB-512GB-W10P-USB	B09M5X1KDV	899	19
LNV-82H8-I5-20GB-512GB-W11-USB	B09M5V6Q8Y	899	20
LNV-82H8-I5-20GB-512GB-W11H-USB	B09M64SMDW	849	20
LNV-82H8-I5-36GB-1TB-W10H-USB	B09M5X959F	1049	20
LNV-82H8-I5-36GB-1TB-W10P-USB	B09M6GVRKV	1099	20
LNV-82H8-I5-36GB-1TB-W11H-USB	B09M5ZQZ86	1049	20
LNV-82H8-I5-36GB-1TB-W11P-USB	B09M69MQVK	1099	20
LNV-82HS00R9US-4GB-128GB-W10H-RATZK	B09XJN42X2	399	40
LNV-82HS00R9US-4GB-128GB-W10P-RATZK	B09XJN15Z4	399	40
LNV-82HS00R9US-4GB-128GB-W11H-RATZK	B09XJMYQ5S	399	37
LNV-82HS00R9US-4GB-128GB-W11P-RATZK	B09XJP1V6C	399	37
LNV-82HS00R9US-4GB-256GB-W10H-RATZK	B09XJMM6KW	399	40
LNV-82HS00R9US-4GB-256GB-W10P-RATZK	B09XJMH25N	399	38
LNV-82HS00R9US-4GB-256GB-W11H-RATZK	B09XJNSBC7	399	36
LNV-82HS00R9US-4GB-256GB-W11H-UL	B09XJNSBC7	399	40
LNV-82HS00R9US-4GB-256GB-W11P-RATZK	B09XJN3T3F	399	40
LNV-82HS00R9US-4GB-512GB-W10P-RATZK	B09XJN8ZW8	399	40
LNV-82HS00R9US-4GB-512GB-W11P-RATZK	B09XJNS1X4	399	30
LNV-82HS00RBUS-4GB-128GB-W10H-RATZK	B09XJNJ8MD	399	45
LNV-82HS00RBUS-4GB-128GB-W10P-RATZK	B09XJNVSWL	399	49
LNV-82HS00RBUS-4GB-128GB-W11H-RATZK	B09XJNDGNY	399	60
LNV-82HS00RBUS-4GB-128GB-W11P-RATZK	B09XJMVGD3	399	45
LNV-82HS00RBUS-4GB-256GB-W10H-RATZK	B09XJMWT3P	399	44
LNV-82HS00RBUS-4GB-256GB-W10P-RATZK	B09XJMV4S2	399	50
LNV-82HS00RBUS-4GB-256GB-W11H-RATZK	B09XJMTCWF	399	19
LNV-82HS00RBUS-4GB-256GB-W11P-RATZK	B09XJN6HWD	399	43
LNV-82HS00RBUS-4GB-512GB-W10P-RATZK	B09XJML3JT	399	44
LNV-82HS00RBUS-4GB-512GB-W11P-RATZK	B09XJNVTJD	399	41
LNV-82HU00JWUS-16GB-1TB-W10H-RATZK	B09TZYYZP4	949	20
LNV-82HU00JWUS-16GB-1TB-W10P-RATZK	B09V11356F	999	19
LNV-82HU00JWUS-16GB-1TB-W11H-RATZK	B09V11KX17	949	20
LNV-82HU00JWUS-16GB-1TB-W11P-RATZK	B09TZZQ8GM	999	20
LNV-82HU00JWUS-16GB-256GB-W10H-RATZK	B09TZZ961P	799	20
LNV-82HU00JWUS-16GB-256GB-W10P-RATZK	B09V115SZR	849	18
LNV-82HU00JWUS-16GB-256GB-W11H-RATZK	B09TZZCYMC	799	18
LNV-82HU00JWUS-16GB-256GB-W11P-RATZK	B09TZZWQKW	849	14
LNV-82HU00JWUS-16GB-512GB-W10P-RATZK	B09TZZ95PL	929	14
LNV-82HU00JWUS-16GB-512GB-W11P-RATZK	B09TZZCYMG	929	13
LNV-82K1-16GB-256GB-1TB-W10H-V2	B0B78DPNMN	849	10
LNV-82K1-16GB-256GB-1TB-W10P-V2	B0B78DF9ST	899	10
LNV-82K1-16GB-256GB-1TB-W11H-V2	B0B78CNYXD	849	10
LNV-82K1-16GB-256GB-1TB-W11P-V2	B0B788P2X6	899	10
LNV-82K1-16GB-512GB-W10H-V2	B0B78CL923	849	10
LNV-82K1-16GB-512GB-W10P-V2	B0B78DGYSG	899	9
LNV-82K1-16GB-512GB-W11H-V2	B0B78BNH5H	849	10
LNV-82K1-16GB-512GB-W11P-V2	B0B789KQQ6	899	10
LNV-82K1-24GB-256GB-1TB-W10H-V2	B0B78BVQ7G	899	9
LNV-82K1-24GB-256GB-1TB-W10P-V2	B0B78DMC6S	949	10
LNV-82K1-24GB-256GB-1TB-W11H-V2	B0B78BWDS3	899	10
LNV-82K1-24GB-256GB-1TB-W11P-V2	B0B78BVM2B	949	10
LNV-82K1-24GB-512GB-W10H-V2	B0B78D6MDX	899	10
LNV-82K1-24GB-512GB-W10P-V2	B0B78C2HJS	949	10
LNV-82K1-24GB-512GB-W11H-V2	B0B78CBTJD	899	10
LNV-82K1-24GB-512GB-W11P-V2	B0B78B5DYP	949	10
LNV-82K1-32GB-512GB-1TSSD-W10H-V2	B0B78D17Z8	1049	9
LNV-82K1-32GB-512GB-1TSSD-W10P-V2	B0B78DFG1B	1099	10
LNV-82K1-32GB-512GB-1TSSD-W11H-V2	B0B78G7FL2	1049	10
LNV-82K1-32GB-512GB-1TSSD-W11P-V2	B0B78CVJC5	1099	8
